"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
,,[1.8-2.3],,[1.8-2.6],,[1.4-2.1],,[2.2-4.5],,[1.6-2.4],,[1.8-2.7],,[0.9-1.9],,,,[1.1-1.9],,[0.7-2.0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In general, vaccines are effective (n=11,989); (n(000s)=29,309)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"15,259",52.10%,"7,176",50.5%+,"7,946",53.70%,"1,740",51.40%,"5,603",49.00%,"4,261",49.70%,"3,361",61.70%,293,62.5%+,"4,787",55.80%,"1,804",58.90%,,,,,,,,,,
,,[51.2-53.0],,[49.3-51.8],,[52.5-55.0],,[48.2-54.7],,[47.5-50.4],,[48.2-51.3],,[59.8-63.6],,[56.0-68.7],,[54.2-57.4],,[56.1-61.5],,,,,,,,,,
Somewhat agree,"11,108",37.90%,"5,452",38.40%,"5,526",37.40%,"1,284",37.90%,"4,552",39.80%,"3,393",39.60%,"1,736",31.90%,142,30.20%,"3,069",35.80%,"1,027",33.5%+,,,,,,,,,,
,,[37.0-38.8],,[37.2-39.7],,[36.2-38.6],,[34.8-41.1],,[38.4-41.2],,[38.1-41.2],,[30.1-33.8],,[24.5-36.6],,[34.2-37.3],,[31.0-36.2],,,,,,,,,,
Somewhat disagree,"1,508",5.10%,836,5.90%,660,4.5%-,154,4.60%,680,5.90%,501,5.80%,162,3.00%,#,#,391,4.60%,130,4.20%,,,,,,,,,,
,,[4.8-5.6],,[5.3-6.5],,[4.0-5.0],,[3.4-6.1],,[5.3-6.7],,[5.1-6.6],,[2.4-3.7],,,,[3.9-5.3],,[3.3-5.5],,,,,,,,,,
Strongly disagree,821,2.80%,428,3.00%,368,2.5%-,100,2.90%,360,3.10%,230,2.70%,111,2.00%,21,4.5%+*,210,2.40%,66,2.20%,,,,,,,,,,
,,[2.5-3.1],,[2.6-3.5],,[2.1-2.9],,[2.0-4.3],,[2.7-3.7],,[2.2-3.2],,[1.5-2.7],,[2.5-8.1],,[2.0-3.0],,[1.5-3.1],,,,,,,,,,
Don't know,613,2.10%,304,2.10%,288,1.90%,107,3.20%,249,2.20%,181,2.10%,76,1.40%,#,#,124,1.40%,38,1.20%,,,,,,,,,,
,,[1.9-2.4],,[1.8-2.5],,[1.6-2.3],,[2.2-4.5],,[1.8-2.6],,[1.7-2.6],,[1.0-1.9],,,,[1.1-1.9],,[0.8-2.0],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Public health guidance recommends vaccination even for diseases that are not common anymore (n=11,912); (n(000s)=29,136)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"12,861",44.10%,"5,949",42.20%,"6,790",46.20%,"1,407",41.80%,"5,244",46.00%,"3,519",41.40%,"2,489",46.20%,203,43.90%,"4,012",47.00%,"1,583",52.10%,,,,,,,,,,
,,[43.3-45.0],,[40.9-43.4],,[44.9-47.5],,[38.6-45.0],,[44.5-47.4],,[39.8-42.9],,[44.2-48.1],,[37.5-50.5],,[45.4-48.6],,[49.3-54.9],,,,,,,,,,
Somewhat agree,"10,054",34.5%+,"5,009",35.5%-,"4,930",33.5%+,"1,107",32.90%,"3,718",32.60%,"3,169",37.30%,"1,911",35.40%,148,31.90%,"2,941",34.5%-,925,30.40%,,,,,,,,,,
,,[33.7-35.4],,[34.3-36.7],,[32.4-34.7],,[29.9-36.0],,[31.3-34.0],,[35.7-38.8],,[33.6-37.4],,[26.1-38.4],,[32.9-36.0],,[27.9-33.0],,,,,,,,,,
Somewhat disagree,"2,919",10.00%,"1,504",10.70%,"1,376",9.40%,347,10.30%,"1,099",9.60%,957,11.20%,479,8.90%,37,8.10%,718,8.40%,262,8.60%,,,,,,,,,,
,,[9.5-10.6],,[9.9-11.5],,[8.7-10.1],,[8.5-12.4],,[8.8-10.5],,[10.3-12.3],,[7.8-10.1],,[5.2-12.5],,[7.6-9.3],,[7.2-10.3],,,,,,,,,,
Strongly disagree,"1,364",4.70%,689,4.90%,663,4.5%+,95,2.8%*,574,5.00%,456,5.00%,233,4.30%,36,7.80%,372,4.40%,151,5.00%,,,,,,,,,,
,,[4.3-5.1],,[4.4-5.5],,[4.0-5.1],,[1.9-4.1],,[4.4-5.7],,[4.4-5.7],,[3.6-5.2],,[5.0-12.2],,[3.7-5.1],,[3.9-6.3],,,,,,,,,,
Don't know,"1,938",6.70%,961,6.80%,940,6.40%,413,12.30%,772,6.80%,435,5.10%,281,5.20%,38,8.30%,492,5.80%,119,3.90%,,,,,,,,,,
,,[6.2-7.1],,[6.2-7.5],,[5.8-7.0],,[10.3-14.6],,[6.1-7.5],,[4.5-5.9],,[4.4-6.2],,[5.3-12.7],,[5.1-6.6],,[3.0-5.1],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alternative medicine is a good substitute for vaccination (n=11,888); (n(000s)=29,080)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"2,167",7.5%-,"1,106",7.80%,"1,015",6.90%,332,9.90%,877,7.70%,612,7.20%,306,5.70%,40,8.5%-,565,6.60%,213,7.00%,,,,,,,,,,
,,[7.0-7.9],,[7.2-8.6],,[6.3-7.6],,[8.1-12.0],,[6.9-8.5],,[6.5-8.1],,[4.8-6.7],,[5.5-12.9],,[5.9-7.5],,[5.7-8.6],,,,,,,,,,
Somewhat agree,"5,572",19.20%,"2,934",20.80%,"2,588",17.60%,593,17.60%,"2,104",18.40%,"1,862",22.00%,949,17.60%,63,13.40%,"1,475",17.30%,544,17.90%,,,,,,,,,,
,,[18.5-19.9],,[19.8-21.9],,[16.7-18.6],,[15.3-20.3],,[17.3-19.6],,[20.7-23.4],,[16.2-19.2],,[9.5-18.6],,[16.2-18.6],,[15.9-20.2],,,,,,,,,,
Somewhat disagree,"7,219",24.80%,"3,553",25.20%,"3,617",24.60%,854,25.40%,"2,666",23.40%,"2,123",25.10%,"1,462",27.10%,115,24.70%,"2,121",24.90%,683,22.5%+,,,,,,,,,,
,,[24.1-25.6],,[24.1-26.4],,[23.6-25.7],,[22.6-28.3],,[22.2-24.6],,[23.8-26.5],,[25.4-28.9],,[19.4-30.8],,[23.6-26.4],,[20.3-24.9],,,,,,,,,,
Strongly disagree,"11,829",40.70%,"5,385",38.20%,"6,315",43.00%,"1,193",35.40%,"4,915",43.10%,"3,239",38.30%,"2,282",42.30%,201,42.90%,"2,779",44.40%,"1,414",46.60%,,,,,,,,,,
,,[39.8-41.6],,[37.0-39.5],,[41.8-44.3],,[32.4-38.6],,[41.7-44.5],,[36.8-39.9],,[40.4-44.3],,[36.5-49.6],,[42.8-46.1],,[43.8-49.4],,,,,,,,,,
Don't know,"2,293",7.90%,"1,109",7.90%,"1,144",7.80%,394,11.70%,845,7.40%,615,7.30%,390,7.20%,49,10.5%-,563,6.60%,181,5.90%,,,,,,,,,,
,,[7.4-8.4],,[7.2-8.6],,[7.1-8.5],,[9.8-14.0],,[6.7-8.2],,[6.5-8.1],,[6.3-8.3],,[7.1-15.3],,[5.9-7.5],,[4.8-7.4],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It is not necessary to get vaccinated if everybody else is vaccinated (n=11,784); (n(000s)=28,823)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"1,530",5.30%,878,6.30%,615,4.20%,241,7.30%,574,5.10%,414,4.90%,254,4.70%,46,10.10%,386,4.60%,128,4.20%,,,,,,,,,,
,,[4.9-5.7],,[5.7-7.0],,[3.7-4.8],,[5.8-9.2],,[4.5-5.8],,[4.3-5.7],,[3.9-5.6],,[6.7-14.8],,[3.9-5.3],,[3.3-5.5],,,,,,,,,,
Somewhat agree,"2,654",9.20%,"1,508",10.80%,"1,112",7.60%,331,10.00%,"1,070",9.5%+,834,9.90%,372,6.90%,46,10.00%,648,7.70%,220,7.30%,,,,,,,,,,
,,[8.7-9.7],,[10.0-11.6],,[7.0-8.3],,[8.2-12.2],,[8.7-10.4],,[9.0-10.9],,[6.0-8.0],,[6.7-14.8],,[6.8-8.6],,[6.0-8.9],,,,,,,,,,
Somewhat disagree,"7,228",25.10%,"3,698",26.5%+,"3,459",23.80%,886,26.80%,"2,963",26.30%,"2,132",25.30%,"1,176",21.80%,71,15.40%,"1,968",23.30%,674,22.30%,,,,,,,,,,
,,[24.3-25.9],,[25.4-27.7],,[22.7-24.9],,[24.0-29.9],,[25.1-27.6],,[24.0-26.8],,[20.2-23.5],,[11.2-20.8],,[21.9-24.7],,[20.1-24.7],,,,,,,,,,
Strongly disagree,"16,611",57.60%,"7,404",53.10%,"9,048",62.20%,"1,715",52.00%,"6,307",56.00%,"4,815",57.20%,"3,489",64.70%,285,61.70%,"5,286",62.5%+,"1,951",64.60%,,,,,,,,,,
,,[56.7-58.5],,[51.8-54.3],,[61.0-63.4],,[48.7-55.3],,[54.6-57.5],,[55.6-58.8],,[62.7-66.5],,[55.1-68.0],,[60.9-64.1],,[61.9-67.2],,,,,,,,,,
Don't know,801,2.80%,467,3.30%,314,2.20%,126,3.80%,339,3.00%,218,2.60%,105,1.90%,13,2.80%,167,2.00%,45,1.5%+,,,,,,,,,,
,,[2.5-3.1],,[2.9-3.8],,[1.8-2.6],,[2.7-5.3],,[2.5-3.6],,[2.1-3.2],,[1.5-2.6],,[1.3-5.9],,[1.6-2.5],,[1.0-2.4],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Getting vaccinated can also protect people with a weaker immune system (n=11,979); (n(000s)=29,301)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strongly agree,"18,607",63.5%+,"8,516",60.10%,"9,910",67.00%,"2,194",65.10%,"7,054",61.5%+,"5,261",61.5%+,"3,785",69.60%,313,66.70%,"5,768",67.40%,"2,219",72.40%,,,,,,,,,,
,,[62.6-64.4],,[58.8-61.3],,[65.8-68.1],,[61.9-68.1],,[60.1-62.9],,[60.0-63.1],,[67.7-71.4],,[60.2-72.6],,[65.8-68.9],,[69.9-74.8],,,,,,,,,,
Somewhat agree,"7,371",25.20%,"3,772",26.60%,"3,526",23.80%,803,23.80%,"2,978",26.00%,"2,278",26.60%,"1,211",22.30%,101,21.5%-,"1,908",22.30%,615,20.10%,,,,,,,,,,
,,[24.4-25.9],,[25.5-27.8],,[22.8-24.9],,[21.1-26.7],,[24.7-27.3],,[25.3-28.1],,[20.6-23.9],,[16.5-27.3],,[21.0-23.7],,[17.9-22.4],,,,,,,,,,
Somewhat disagree,"1,314",4.5%-,751,5.30%,539,3.60%,139,4.10%,572,5.00%,436,5.10%,162,3.00%,#,#,368,4.30%,100,3.30%,,,,,,,,,,
,,[4.1-4.9],,[4.7-5.9],,[3.2-4.1],,[3.0-5.6],,[4.4-5.7],,[4.4-5.8],,[2.4-3.7],,,,[3.7-5.0],,[2.4-4.4],,,,,,,,,,
Strongly disagree,"1,122",3.80%,644,4.5%+,449,3.00%,112,3.30%,501,4.40%,333,3.90%,154,2.80%,22,4.80%,314,3.70%,97,3.20%,,,,,,,,,,
,,[3.5-4.2],,[4.0-5.1],,[2.6-3.5],,[2.3-4.7],,[3.8-5.0],,[3.3-4.6],,[2.2-3.6],,[2.7-8.5],,[3.1-4.3],,[2.3-4.3],,,,,,,,,,
Don't know,887,3.00%,496,3.5%-,374,2.5%+,124,3.70%,364,3.20%,242,2.80%,129,2.40%,28,5.90%,204,2.40%,33,1.10%,,,,,,,,,,
,,[2.7-3.3],,[3.1-4.0],,[2.2-3.0],,[2.6-5.1],,[2.7-3.7],,[2.4-3.4],,[1.8-3.1],,[3.5-9.8],,[1.9-2.9],,[0.6-1.8],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Respondents' most trusted sources of information about vaccination, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F1. What are your most trusted sources of information about vaccines? (n=11,845); (n(000s)=28,993)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health care providers,"19,946",70.70%,"9,068",66.60%,"10,698",74.80%,"2,401",73.80%,"7,832",71.40%,"5,724",69.60%,"3,705",70.00%,284,61.90%,"6,143",74.10%,"2,232",74.5%-,,,,,,,,,,
,,[69.9-71.5],,[65.3-67.8],,[73.7-75.9],,[70.7-76.6],,[70.0-72.7],,[68.1-71.0],,[68.1-71.8],,[55.2-68.1],,[72.6-75.5],,[71.9-76.8],,,,,,,,,,
Family/Friends,"2,993",10.60%,"1,478",10.90%,"1,463",10.20%,616,18.90%,"1,228",11.20%,715,8.70%,398,7.50%,35,7.70%,853,10.30%,190,6.40%,,,,,,,,,,
,,[10.1-11.2],,[10.1-11.7],,[9.5-11.0],,[16.5-21.7],,[10.3-12.2],,[7.8-9.6],,[6.5-8.6],,[4.9-12.1],,[9.3-11.3],,[5.1-7.9],,,,,,,,,,
My local public health unit/clinic,"10,005",35.50%,"4,412",32.40%,"5,499",38.50%,"1,246",38.30%,"3,969",36.20%,"2,763",33.60%,"1,875",35.40%,153,33.30%,"3,148",38.00%,"1,234",41.20%,,,,,,,,,,
,,[34.6-36.3],,[31.2-33.6],,[37.2-39.7],,[35.1-41.5],,[34.7-37.6],,[32.1-35.1],,[33.5-37.4],,[27.3-39.8],,[36.4-39.6],,[38.4-44.0],,,,,,,,,,
Public Health Agency of Canada/Health Canada,"16,401",58.10%,"7,846",55.00%,"8,767",61.30%,"1,912",58.70%,"6,324",57.60%,"4,763",57.90%,"3,143",59.40%,260,56.60%,"4,905",59.10%,"1,875",62.5%+,,,,,,,,,,
,,[57.2-59.0],,[53.7-56.3],,[60.1-62.6],,[55.4-62.0],,[56.1-59.1],,[56.3-59.5],,[57.4-61.3],,[49.9-63.0],,[57.5-60.7],,[59.8-65.2],,,,,,,,,,
Community nursing stations or clinics,"4,698",16.70%,"2,078",15.30%,"2,553",17.90%,515,15.80%,"1,942",17.70%,"1,319",16.00%,854,16.10%,68,14.80%,"1,426",17.20%,635,21.20%,,,,,,,,,,
,,[16.0-17.3],,[14.3-16.2],,[16.9-18.9],,[13.5-18.4],,[16.6-18.9],,[14.9-17.2],,[14.7-17.7],,[10.7-20.2],,[16.0-18.5],,[19.0-23.6],,,,,,,,,,
News/media/social media,"3,842",13.60%,"2,003",14.70%,"1,788",12.50%,437,13.40%,"1,312",12.00%,"1,186",14.40%,843,15.90%,63,13.80%,"1,209",14.60%,235,7.80%,,,,,,,,,,
,,[13.0-14.3],,[13.8-15.7],,[11.7-13.4],,[11.3-15.8],,[11.0-13.0],,[13.3-15.6],,[14.5-17.5],,[9.8-19.0],,[13.5-15.8],,[6.5-9.5],,,,,,,,,,
National Advisory Committee on Immunization (NACI),"6,485",23.00%,"2,828",20.80%,"3,580",25.10%,722,22.20%,"2,520",23.00%,"1,803",21.90%,"1,318",24.90%,122,26.60%,"2,072",25.00%,901,30.10%,,,,,,,,,,
,,[22.2-23.8],,[19.7-21.9],,[24.0-26.2],,[19.5-25.1],,[21.7-24.2],,[20.6-23.3],,[23.2-26.7],,[21.1-32.9],,[23.6-26.4],,[27.6-32.7],,,,,,,,,,
"International sources (e.g., World Health Organization (WHO))","11,111",39.40%,"4,772",35.00%,"6,245",43.70%,"1,574",48.30%,"4,724",43.00%,"2,812",34.20%,"1,843",34.80%,158,34.30%,"3,290",39.70%,"1,423",47.5%-,,,,,,,,,,
,,[38.5-40.3],,[33.8-36.3],,[42.4-45.0],,[45.0-51.7],,[41.6-44.5],,[32.7-35.7],,[32.9-36.7],,[28.3-40.9],,[38.1-41.3],,[44.7-50.3],,,,,,,,,,
"Scientific publications, journals","10,241",36.30%,"5,126",37.60%,"4,993",34.90%,"1,501",46.10%,"4,804",43.80%,"2,468",30.00%,"1,367",25.80%,101,21.90%,"2,871",34.60%,"1,363",45.5%-,,,,,,,,,,
,,[35.4-37.2],,[36.4-38.9],,[33.7-36.2],,[42.8-49.4],,[42.3-45.2],,[28.5-31.5],,[24.1-27.6],,[16.9-27.9],,[33.1-36.2],,[42.7-48.3],,,,,,,,,,
Other,598,2.10%,345,2.50%,242,1.70%,46,1.40%,260,2.40%,182,2.20%,95,1.80%,14,3.10%,172,2.10%,34,1.10%,,,,,,,,,,
,,[1.9-2.4],,[2.2-3.0],,[1.4-2.1],,[0.8-2.4],,[2.0-2.9],,[1.8-2.7],,[1.3-2.4],,[1.5-6.4],,[1.7-2.6],,[0.7-1.9],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: respondents could select more than one source of information; percentages will not sum to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People with chronic health conditions refers to people with at least one chronic health condition listed in table 2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Health care workers refers to all respondents who work in a health care setting (defined by question G9, answer option 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5a. Percentage of respondents that were hesitant or reluctant to get vaccinated and reasons why, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B19. Excluding COVID-19 and flu vaccines, were you ever reluctant or hesitant to get vaccinated as an adult against any disease? (n=11,735); (n(000s)=28,645)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"5,269",18.40%,"2,482",17.90%,"2,713",18.70%,588,18.30%,"2,195",19.60%,"1,708",20.30%,722,13.40%,56,11.90%,"1,421",16.70%,490,16.30%,,,,,,,,,,
,,[17.7-19.1],,[16.9-18.9],,[17.8-19.7],,[15.8-21.0],,[18.5-20.8],,[19.1-21.7],,[12.1-14.8],,[8.3-16.9],,[15.6-18.0],,[14.3-18.4],,,,,,,,,,
No,"23,376",81.60%,"11,382",82.10%,"11,769",81.30%,"2,633",81.70%,"8,986",80.40%,"6,689",79.70%,"4,655",86.60%,413,88.10%,"7,067",83.30%,"2,524",83.70%,,,,,,,,,,
,,[80.9-82.3],,[81.1-83.1],,[80.3-82.2],,[79.0-84.2],,[79.2-81.5],,[78.3-80.9],,[85.2-87.9],,[83.1-91.7],,[82.0-84.4],,[81.6-85.7],,,,,,,,,,
B21a. Why were you reluctant or hesitant to get vaccinated?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have a fear of needles,451,8.90%,205,8.70%,242,9.20%,130,23.10%,212,10.00%,69,4.10%,37,5.40%,#,#,111,8.00%,39,8.20%,,,,,,,,,,
,,[7.7-10.2],,[7.0-10.6],,[7.6-11.0],,[17.1-30.5],,[8.2-12.2],,[2.9-5.8],,[3.3-8.5],,,,[6.1-10.5],,[5.1-12.8],,,,,,,,,,
I am not at risk of getting infected or at risk of severe infection,546,10.70%,299,12.60%,228,8.60%,101,17.90%,245,11.60%,140,8.40%,58,8.40%,#,#,104,7.5%+,56,11.80%,,,,,,,,,,
,,[9.5-12.1],,[10.7-14.9],,[7.1-10.4],,[12.6-24.8],,[9.6-13.9],,[6.6-10.6],,[5.8-12.1],,,,[5.7-9.9],,[8.0-17.0],,,,,,,,,,
I wanted to first discuss the vaccine(s) with my health care practitioner,671,13.20%,255,10.80%,404,15.20%,64,11.40%,256,12.00%,232,14.00%,113,16.30%,#,#,219,15.90%,84,17.60%,,,,,,,,,,
,,[11.8-14.7],,[8.9-12.9],,[13.2-17.5],,[7.2-17.4],,[10.0-14.4],,[11.6-16.6],,[12.5-20.9],,,,[13.2-19.0],,[13.0-23.5],,,,,,,,,,
I am concerned that not enough research on the vaccine has been done,"1,745",34.30%,788,33.30%,932,35.20%,211,37.5%+,793,37.30%,528,31.70%,187,27.00%,#,#,482,34.90%,196,40.90%,,,,,,,,,,
,,[32.3-36.3],,[30.3-36.3],,[32.4-38.1],,[30.2-45.5],,[34.2-40.6],,[28.5-35.2],,[22.3-32.3],,,,[31.2-38.8],,[34.3-47.8],,,,,,,,,,
I am concerned about the effectiveness of vaccination,"1,329",26.10%,627,26.5%-,675,25.5%+,143,25.40%,602,28.30%,432,26.00%,146,21.10%,#,#,363,26.30%,141,29.5%+,,,,,,,,,,
,,[24.3-28.0],,[23.8-29.4],,[23.0-28.2],,[19.1-32.9],,[25.4-31.4],,[22.9-29.2],,[16.9-26.1],,,,[22.9-29.9],,[23.6-36.2],,,,,,,,,,
I am concerned about the safety of vaccination and/or side effects,"2,292",45.00%,977,41.20%,"1,279",48.30%,239,42.5%+,"1,035",48.80%,760,45.70%,240,34.70%,#,#,635,46.00%,230,48.00%,,,,,,,,,,
,,[42.9-47.2],,[38.1-44.4],,[45.4-51.3],,[34.9-50.5],,[45.4-52.1],,[42.2-49.3],,[29.6-40.3],,,,[42.0-50.0],,[41.2-54.9],,,,,,,,,,
I had a bad experience or reaction with a previous vaccination,770,15.10%,270,11.40%,485,18.30%,83,14.80%,350,16.5%-,221,13.30%,101,14.70%,#,#,289,20.90%,115,23.90%,,,,,,,,,,
,,[13.6-16.7],,[9.5-13.6],,[16.2-20.7],,[10.0-21.4],,[14.1-19.1],,[11.0-15.9],,[11.1-19.1],,,,[17.9-24.4],,[18.5-30.3],,,,,,,,,,
I did not know where to get reliable information,483,9.5%-,245,10.30%,228,8.60%,85,15.20%,219,10.30%,128,7.70%,50,7.30%,Nil,Nil,109,7.90%,46,9.60%,,,,,,,,,,
,,[8.3-10.8],,[8.6-12.4],,[7.1-10.4],,[10.3-21.8],,[8.5-12.5],,[6.0-9.8],,[4.9-10.8],,,,[6.0-10.3],,[6.2-14.4],,,,,,,,,,
I did not think it was necessary,"1,291",25.40%,679,28.60%,600,22.70%,178,31.70%,560,26.40%,349,21.00%,196,28.40%,#,#,260,18.80%,98,20.60%,,,,,,,,,,
,,[23.5-27.3],,[25.9-31.6],,[20.3-25.2],,[24.8-39.5],,[23.6-29.4],,[18.2-24.1],,[23.6-33.7],,,,[15.9-22.2],,[15.5-26.7],,,,,,,,,,
Religious or philosophical reasons,173,3.40%,98,4.10%,69,2.60%,38,6.80%,98,4.60%,28,1.70%,#,#,#,#,31,2.30%,#,#,,,,,,,,,,
,,[2.7-4.3],,[3.0-5.6],,[1.8-3.7],,[3.8-12.0],,[3.4-6.2],,[1.0-2.9],,,,,,[1.3-3.8],,,,,,,,,,,,
I had a bad experience with healthcare providers,188,3.70%,96,4.10%,82,3.10%,36,6.40%,115,5.40%,28,1.70%,#,#,#,#,62,4.5%-,#,#,,,,,,,,,,
,,[3.0-4.6],,[3.0-5.5],,[2.2-4.3],,[3.4-11.5],,[4.1-7.2],,[1.0-2.9],,,,,,[3.1-6.4],,,,,,,,,,,,
Concerned with misinformation or against vaccines,33,0.60%,24,1.00%,#,#,Nil,Nil,17,0.80%,#,#,#,#,Nil,Nil,#,#,Nil,Nil,,,,,,,,,,
,,[0.4-1.1],,[0.5-1.9],,,,,,[0.4-1.7],,,,,,,,,,,,,,,,,,,,
Other reasons,306,6.00%,138,5.80%,156,5.90%,52,9.30%,152,7.20%,80,4.80%,22,3.20%,#,#,93,6.80%,24,5.00%,,,,,,,,,,
,,[5.1-7.1],,[4.5-7.5],,[4.6-7.4],,[5.6-15.0],,[5.6-9.1],,[3.5-6.6],,[1.8-5.9],,,,[5.0-9.0],,[2.7-8.9],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
