Public_health_unit,Antigen,Age,Year,Coverage
Grey Bruce Public Health,Pertussis,6,2023-2024,66.7
Grey Bruce Public Health,Pertussis,8,2023-2024,87.2
Grey Bruce Public Health,Pertussis,9,2023-2024,89.3
Grey Bruce Public Health,Pertussis,10,2023-2024,89.9
Grey Bruce Public Health,Pertussis,11,2023-2024,92.9
Grey Bruce Public Health,Pertussis,12,2023-2024,93.6
Grey Bruce Public Health,Pertussis,13,2023-2024,94
Grey Bruce Public Health,Pertussis,14,2023-2024,79.9
Grey Bruce Public Health,Pertussis,15,2023-2024,76.7
Grey Bruce Public Health,Pertussis,16,2023-2024,81
Grey Bruce Public Health,Pneumo,5,2023-2024,86.4
Grey Bruce Public Health,Pneumo,6,2023-2024,85.1
Grey Bruce Public Health,Pneumo,8,2023-2024,89.1
Grey Bruce Public Health,Pneumo,9,2023-2024,88.4
Grey Bruce Public Health,Pneumo,10,2023-2024,86.9
Grey Bruce Public Health,Pneumo,11,2023-2024,86.4
Grey Bruce Public Health,Pneumo,12,2023-2024,84.3
Grey Bruce Public Health,Polio,5,2023-2024,50.9
Grey Bruce Public Health,Polio,6,2023-2024,66.8
Grey Bruce Public Health,Polio,8,2023-2024,87.5
Grey Bruce Public Health,Polio,9,2023-2024,89.6
Grey Bruce Public Health,Polio,10,2023-2024,90.6
Grey Bruce Public Health,Polio,11,2023-2024,93.2
Grey Bruce Public Health,Polio,12,2023-2024,93.9
Grey Bruce Public Health,Polio,13,2023-2024,94.2
Grey Bruce Public Health,Polio,14,2023-2024,96
Grey Bruce Public Health,Polio,15,2023-2024,95.9
Grey Bruce Public Health,Polio,16,2023-2024,93.9
Grey Bruce Public Health,Rota,5,2023-2024,75.3
Grey Bruce Public Health,Rota,6,2023-2024,79.2
Grey Bruce Public Health,Rubella,5,2023-2024,92
Grey Bruce Public Health,Rubella,6,2023-2024,92.2
Grey Bruce Public Health,Rubella,8,2023-2024,94.9
Grey Bruce Public Health,Rubella,9,2023-2024,95.6
Grey Bruce Public Health,Rubella,10,2023-2024,95.2
Grey Bruce Public Health,Rubella,11,2023-2024,95.2
Grey Bruce Public Health,Rubella,12,2023-2024,95.4
Grey Bruce Public Health,Rubella,13,2023-2024,95.9
Grey Bruce Public Health,Rubella,14,2023-2024,97.7
Grey Bruce Public Health,Rubella,15,2023-2024,97.3
Grey Bruce Public Health,Rubella,16,2023-2024,96
Grey Bruce Public Health,Tetanus,5,2023-2024,50.7
Grey Bruce Public Health,Tetanus,6,2023-2024,66.7
Grey Bruce Public Health,Tetanus,8,2023-2024,87.2
Grey Bruce Public Health,Tetanus,9,2023-2024,89.3
Grey Bruce Public Health,Tetanus,10,2023-2024,89.9
Grey Bruce Public Health,Tetanus,11,2023-2024,92.9
Grey Bruce Public Health,Tetanus,12,2023-2024,93.6
Grey Bruce Public Health,Tetanus,13,2023-2024,94
Grey Bruce Public Health,Tetanus,14,2023-2024,79.9
Grey Bruce Public Health,Tetanus,15,2023-2024,76.7
Grey Bruce Public Health,Tetanus,16,2023-2024,81.2
Grey Bruce Public Health,Varicella,5,2023-2024,48.9
Grey Bruce Public Health,Varicella,6,2023-2024,65.4
Grey Bruce Public Health,Varicella,8,2023-2024,85.5
Grey Bruce Public Health,Varicella,9,2023-2024,87.9
Grey Bruce Public Health,Varicella,10,2023-2024,89
Grey Bruce Public Health,Varicella,11,2023-2024,91.1
Grey Bruce Public Health,Varicella,12,2023-2024,92.1
Haldimand-Norfolk Health Unit,Diphtheria,17,2023-2024,42.5
Haldimand-Norfolk Health Unit,HepB,12,2023-2024,54.4
Haldimand-Norfolk Health Unit,HPV,12,2023-2024,50.4
Haldimand-Norfolk Health Unit,Pertussis,17,2023-2024,42.5
Haldimand-Norfolk Health Unit,Tetanus,17,2023-2024,42.5
Haldimand-Norfolk Health Unit,Measles,17,2023-2024,76.2
Haldimand-Norfolk Health Unit,Mumps,17,2023-2024,76.2
Haldimand-Norfolk Health Unit,Polio,17,2023-2024,68.1
Haldimand-Norfolk Health Unit,Rota,7,2023-2024,69.1
Haldimand-Norfolk Health Unit,HepB,17,2023-2024,68.9
Haldimand-Norfolk Health Unit,HPV,17,2023-2024,60.3
Haldimand-Norfolk Health Unit,MCV4,12,2023-2024,64.7
Haldimand-Norfolk Health Unit,MCV4,17,2023-2024,78.4
Haldimand-Norfolk Health Unit,Hib,7,2023-2024,77.5
Haldimand-Norfolk Health Unit,Pneumo,7,2023-2024,71.2
Haldimand-Norfolk Health Unit,Rubella,17,2023-2024,82.4
Haldimand-Norfolk Health Unit,Diphtheria,7,2023-2024,87.6
Haldimand-Norfolk Health Unit,MCC,7,2023-2024,91.7
Haldimand-Norfolk Health Unit,Measles,7,2023-2024,88
Haldimand-Norfolk Health Unit,Mumps,7,2023-2024,88
Haldimand-Norfolk Health Unit,Pertussis,7,2023-2024,87.6
Haldimand-Norfolk Health Unit,Polio,7,2023-2024,88.5
Haldimand-Norfolk Health Unit,Rubella,7,2023-2024,93.1
Haldimand-Norfolk Health Unit,Tetanus,7,2023-2024,87.6
Haldimand-Norfolk Health Unit,Varicella,7,2023-2024,87.1
Haldimand-Norfolk Health Unit,Diphtheria,5,2023-2024,33.6
Haldimand-Norfolk Health Unit,Diphtheria,6,2023-2024,50.9
Haldimand-Norfolk Health Unit,Diphtheria,8,2023-2024,91.2
Haldimand-Norfolk Health Unit,Diphtheria,9,2023-2024,65.9
Haldimand-Norfolk Health Unit,Diphtheria,10,2023-2024,69.9
Haldimand-Norfolk Health Unit,Diphtheria,11,2023-2024,82.9
Haldimand-Norfolk Health Unit,Diphtheria,12,2023-2024,90
Haldimand-Norfolk Health Unit,Diphtheria,13,2023-2024,92.1
Haldimand-Norfolk Health Unit,Diphtheria,14,2023-2024,51.6
Haldimand-Norfolk Health Unit,Diphtheria,15,2023-2024,54.9
Haldimand-Norfolk Health Unit,Diphtheria,16,2023-2024,78.6
Haldimand-Norfolk Health Unit,HepB,13,2023-2024,65.4
Haldimand-Norfolk Health Unit,HepB,14,2023-2024,54.9
Haldimand-Norfolk Health Unit,HepB,15,2023-2024,52.3
Haldimand-Norfolk Health Unit,HepB,16,2023-2024,59.7
Haldimand-Norfolk Health Unit,Hib,5,2023-2024,43.1
Haldimand-Norfolk Health Unit,Hib,6,2023-2024,56.4
Haldimand-Norfolk Health Unit,Hib,8,2023-2024,79.4
Haldimand-Norfolk Health Unit,Hib,9,2023-2024,66.9
Haldimand-Norfolk Health Unit,Hib,10,2023-2024,71.3
Haldimand-Norfolk Health Unit,Hib,11,2023-2024,77.1
Haldimand-Norfolk Health Unit,Hib,12,2023-2024,78.4
Haldimand-Norfolk Health Unit,HPV,13,2023-2024,61.6
Haldimand-Norfolk Health Unit,HPV,14,2023-2024,49
Haldimand-Norfolk Health Unit,HPV,15,2023-2024,48.3
Haldimand-Norfolk Health Unit,HPV,16,2023-2024,57
Haldimand-Norfolk Health Unit,MCC,5,2023-2024,55.3
Haldimand-Norfolk Health Unit,MCC,6,2023-2024,68.4
Haldimand-Norfolk Health Unit,MCC,8,2023-2024,93.9
Haldimand-Norfolk Health Unit,MCC,9,2023-2024,76.2
Haldimand-Norfolk Health Unit,MCC,10,2023-2024,81.8
Haldimand-Norfolk Health Unit,MCC,11,2023-2024,89.5
Haldimand-Norfolk Health Unit,MCC,12,2023-2024,95.1
Haldimand-Norfolk Health Unit,MCV4,13,2023-2024,73.3
Haldimand-Norfolk Health Unit,MCV4,14,2023-2024,64.8
Haldimand-Norfolk Health Unit,MCV4,15,2023-2024,69.5
Haldimand-Norfolk Health Unit,MCV4,16,2023-2024,87
Haldimand-Norfolk Health Unit,Measles,5,2023-2024,33.7
Haldimand-Norfolk Health Unit,Measles,6,2023-2024,50.7
Haldimand-Norfolk Health Unit,Measles,8,2023-2024,91.5
Haldimand-Norfolk Health Unit,Measles,9,2023-2024,65.9
Haldimand-Norfolk Health Unit,Measles,10,2023-2024,69.7
Haldimand-Norfolk Health Unit,Measles,11,2023-2024,83.9
Haldimand-Norfolk Health Unit,Measles,12,2023-2024,92
Haldimand-Norfolk Health Unit,Measles,13,2023-2024,93.4
Haldimand-Norfolk Health Unit,Measles,14,2023-2024,85.6
Haldimand-Norfolk Health Unit,Measles,15,2023-2024,89.3
Haldimand-Norfolk Health Unit,Measles,16,2023-2024,89.3
Haldimand-Norfolk Health Unit,Mumps,5,2023-2024,33.7
Haldimand-Norfolk Health Unit,Mumps,6,2023-2024,50.7
Haldimand-Norfolk Health Unit,Mumps,8,2023-2024,91.3
Haldimand-Norfolk Health Unit,Mumps,9,2023-2024,65.7
Haldimand-Norfolk Health Unit,Mumps,10,2023-2024,69.6
Haldimand-Norfolk Health Unit,Mumps,11,2023-2024,83.9
Haldimand-Norfolk Health Unit,Mumps,12,2023-2024,92
Haldimand-Norfolk Health Unit,Mumps,13,2023-2024,93.4
Haldimand-Norfolk Health Unit,Mumps,14,2023-2024,85.6
Haldimand-Norfolk Health Unit,Mumps,15,2023-2024,89.2
Haldimand-Norfolk Health Unit,Mumps,16,2023-2024,89.3
Haldimand-Norfolk Health Unit,Pertussis,5,2023-2024,33.6
Haldimand-Norfolk Health Unit,Pertussis,6,2023-2024,50.9
Haldimand-Norfolk Health Unit,Pertussis,8,2023-2024,91.2
Haldimand-Norfolk Health Unit,Pertussis,9,2023-2024,65.9
Haldimand-Norfolk Health Unit,Pertussis,10,2023-2024,69.9
Haldimand-Norfolk Health Unit,Pertussis,11,2023-2024,82.9
Haldimand-Norfolk Health Unit,Pertussis,12,2023-2024,90
Haldimand-Norfolk Health Unit,Pertussis,13,2023-2024,92.1
Haldimand-Norfolk Health Unit,Pertussis,14,2023-2024,51.6
Haldimand-Norfolk Health Unit,Pertussis,15,2023-2024,54.7
Haldimand-Norfolk Health Unit,Pertussis,16,2023-2024,78.2
Haldimand-Norfolk Health Unit,Pneumo,5,2023-2024,43.9
Haldimand-Norfolk Health Unit,Pneumo,6,2023-2024,54.1
Haldimand-Norfolk Health Unit,Pneumo,8,2023-2024,76.6
Haldimand-Norfolk Health Unit,Pneumo,9,2023-2024,63.1
Haldimand-Norfolk Health Unit,Pneumo,10,2023-2024,69.1
Haldimand-Norfolk Health Unit,Pneumo,11,2023-2024,72.5
Haldimand-Norfolk Health Unit,Pneumo,12,2023-2024,72.8
Haldimand-Norfolk Health Unit,Polio,5,2023-2024,34.2
Haldimand-Norfolk Health Unit,Polio,6,2023-2024,52.2
Haldimand-Norfolk Health Unit,Polio,8,2023-2024,91.7
Haldimand-Norfolk Health Unit,Polio,9,2023-2024,66.6
Haldimand-Norfolk Health Unit,Polio,10,2023-2024,70.4
Haldimand-Norfolk Health Unit,Polio,11,2023-2024,83.9
Haldimand-Norfolk Health Unit,Polio,12,2023-2024,91.1
Haldimand-Norfolk Health Unit,Polio,13,2023-2024,92.5
Haldimand-Norfolk Health Unit,Polio,14,2023-2024,83.5
Haldimand-Norfolk Health Unit,Polio,15,2023-2024,88.8
Haldimand-Norfolk Health Unit,Polio,16,2023-2024,82.6
Haldimand-Norfolk Health Unit,Rota,5,2023-2024,40.5
Haldimand-Norfolk Health Unit,Rota,6,2023-2024,53.9
Haldimand-Norfolk Health Unit,Rubella,5,2023-2024,58.5
Haldimand-Norfolk Health Unit,Rubella,6,2023-2024,73.2
Haldimand-Norfolk Health Unit,Rubella,8,2023-2024,95.2
Haldimand-Norfolk Health Unit,Rubella,9,2023-2024,81.7
Haldimand-Norfolk Health Unit,Rubella,10,2023-2024,85.1
Haldimand-Norfolk Health Unit,Rubella,11,2023-2024,91.5
Haldimand-Norfolk Health Unit,Rubella,12,2023-2024,95.1
Haldimand-Norfolk Health Unit,Rubella,13,2023-2024,95.2
Haldimand-Norfolk Health Unit,Rubella,14,2023-2024,89.6
Haldimand-Norfolk Health Unit,Rubella,15,2023-2024,92.4
Haldimand-Norfolk Health Unit,Rubella,16,2023-2024,93
Haldimand-Norfolk Health Unit,Tetanus,5,2023-2024,33.6
Haldimand-Norfolk Health Unit,Tetanus,6,2023-2024,50.9
Haldimand-Norfolk Health Unit,Tetanus,8,2023-2024,91.2
Haldimand-Norfolk Health Unit,Tetanus,9,2023-2024,65.9
Haldimand-Norfolk Health Unit,Tetanus,10,2023-2024,69.9
Haldimand-Norfolk Health Unit,Tetanus,11,2023-2024,82.9
Haldimand-Norfolk Health Unit,Tetanus,12,2023-2024,90
Haldimand-Norfolk Health Unit,Tetanus,13,2023-2024,92.1
Haldimand-Norfolk Health Unit,Tetanus,14,2023-2024,51.6
Haldimand-Norfolk Health Unit,Tetanus,15,2023-2024,54.9
Haldimand-Norfolk Health Unit,Tetanus,16,2023-2024,78.6
Haldimand-Norfolk Health Unit,Varicella,5,2023-2024,32.4
Haldimand-Norfolk Health Unit,Varicella,6,2023-2024,50.3
Haldimand-Norfolk Health Unit,Varicella,8,2023-2024,91
Haldimand-Norfolk Health Unit,Varicella,9,2023-2024,64.7
Haldimand-Norfolk Health Unit,Varicella,10,2023-2024,67.4
Haldimand-Norfolk Health Unit,Varicella,11,2023-2024,82
Haldimand-Norfolk Health Unit,Varicella,12,2023-2024,89.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,17,2023-2024,57.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,12,2023-2024,54.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,12,2023-2024,49.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,17,2023-2024,58
"Haliburton, Kawartha, Pine Ridge District Health Unit",Tetanus,17,2023-2024,57.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,17,2023-2024,65.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,17,2023-2024,72.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCV4,12,2023-2024,74.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,7,2023-2024,83.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,7,2023-2024,83.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Rota,7,2023-2024,75.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCV4,17,2023-2024,89.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Polio,17,2023-2024,87.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,7,2023-2024,88.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,7,2023-2024,94.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,7,2023-2024,89
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,7,2023-2024,89
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,7,2023-2024,88.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Polio,7,2023-2024,89.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Tetanus,7,2023-2024,88.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Varicella,7,2023-2024,88
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,17,2023-2024,93.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,17,2023-2024,93
"Haliburton, Kawartha, Pine Ridge District Health Unit",Rubella,7,2023-2024,95.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Rubella,17,2023-2024,95.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,5,2023-2024,55.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,6,2023-2024,70.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,8,2023-2024,91.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,9,2023-2024,93.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,10,2023-2024,94
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,11,2023-2024,94.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,12,2023-2024,95.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,13,2023-2024,96.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,14,2023-2024,73.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,15,2023-2024,74.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",Diphtheria,16,2023-2024,81.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,13,2023-2024,67.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,14,2023-2024,69.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,15,2023-2024,64.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",HepB,16,2023-2024,43.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,5,2023-2024,82.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,6,2023-2024,84.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,8,2023-2024,89.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,9,2023-2024,90.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,10,2023-2024,89.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,11,2023-2024,86.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Hib,12,2023-2024,84.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,13,2023-2024,61.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,14,2023-2024,63.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,15,2023-2024,58
"Haliburton, Kawartha, Pine Ridge District Health Unit",HPV,16,2023-2024,41.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,5,2023-2024,93.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,6,2023-2024,94.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,8,2023-2024,95.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,9,2023-2024,96.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,10,2023-2024,97.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,11,2023-2024,96.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCC,12,2023-2024,97.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCV4,13,2023-2024,89.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCV4,14,2023-2024,93.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCV4,15,2023-2024,91.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",MCV4,16,2023-2024,94.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,5,2023-2024,54.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,6,2023-2024,69.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,8,2023-2024,92
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,9,2023-2024,92.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,10,2023-2024,93.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,11,2023-2024,94
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,12,2023-2024,96.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,13,2023-2024,97
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,14,2023-2024,96.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,15,2023-2024,96.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Measles,16,2023-2024,96.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,5,2023-2024,54.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,6,2023-2024,69.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,8,2023-2024,91.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,9,2023-2024,92.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,10,2023-2024,93.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,11,2023-2024,93.9
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,12,2023-2024,96.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,13,2023-2024,97
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,14,2023-2024,96.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,15,2023-2024,96.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Mumps,16,2023-2024,96.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,5,2023-2024,55.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,6,2023-2024,70.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,8,2023-2024,91.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,9,2023-2024,93.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,10,2023-2024,94
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,11,2023-2024,94.3
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,12,2023-2024,95.7
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,13,2023-2024,96.5
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,14,2023-2024,73.8
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,15,2023-2024,74.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pertussis,16,2023-2024,81.2
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,5,2023-2024,84.6
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,6,2023-2024,85.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,8,2023-2024,88.4
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,9,2023-2024,88.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,10,2023-2024,84.1
"Haliburton, Kawartha, Pine Ridge District Health Unit",Pneumo,11,2023-2024,82.9
