Public_health_unit,Antigen,Age,Year,Number_of_Doses,Proportion
Niagara Region Public Health,Measles,7,2022-2023,0 doses,4.9
Niagara Region Public Health,Measles,7,2023-2024,0 doses,4.6
Niagara Region Public Health,Measles,7,2019-2020,1 dose,6.3
Niagara Region Public Health,Measles,7,2020-2021,1 dose,11.4
Niagara Region Public Health,Measles,7,2021-2022,1 dose,15.8
Niagara Region Public Health,Measles,7,2022-2023,1 dose,10
Niagara Region Public Health,Measles,7,2023-2024,1 dose,10
Niagara Region Public Health,Measles,7,2019-2020,2 or more doses,90.5
Niagara Region Public Health,Measles,7,2020-2021,2 or more doses,85.5
Niagara Region Public Health,Measles,7,2021-2022,2 or more doses,80.3
Niagara Region Public Health,Measles,7,2022-2023,2 or more doses,85.1
Niagara Region Public Health,Measles,7,2023-2024,2 or more doses,85.5
Niagara Region Public Health,HepB,12,2019-2020,0 doses,9.7
Niagara Region Public Health,HepB,12,2020-2021,0 doses,21.5
Niagara Region Public Health,HepB,12,2021-2022,0 doses,14.3
Niagara Region Public Health,HepB,12,2022-2023,0 doses,14.8
Niagara Region Public Health,HepB,12,2023-2024,0 doses,23.7
Niagara Region Public Health,HepB,12,2019-2020,1 dose,27.3
Niagara Region Public Health,HepB,12,2020-2021,1 dose,29.4
Niagara Region Public Health,HepB,12,2021-2022,1 dose,14.7
Niagara Region Public Health,HepB,12,2022-2023,1 dose,9.1
Niagara Region Public Health,HepB,12,2023-2024,1 dose,14.6
Niagara Region Public Health,HepB,12,2019-2020,2 doses,47.8
Niagara Region Public Health,HepB,12,2020-2021,2 doses,35.5
Niagara Region Public Health,HepB,12,2021-2022,2 doses,57.1
Niagara Region Public Health,HepB,12,2022-2023,2 doses,60.2
Niagara Region Public Health,HepB,12,2023-2024,2 doses,46.6
Niagara Region Public Health,HepB,12,2019-2020,3 or more doses,15.2
Niagara Region Public Health,HepB,12,2020-2021,3 or more doses,13.5
Niagara Region Public Health,HepB,12,2021-2022,3 or more doses,13.9
Niagara Region Public Health,HepB,12,2022-2023,3 or more doses,16
Niagara Region Public Health,HepB,12,2023-2024,3 or more doses,15.2
Niagara Region Public Health,HPV,12,2019-2020,0 doses,20.3
Niagara Region Public Health,HPV,12,2020-2021,0 doses,30.3
Niagara Region Public Health,HPV,12,2021-2022,0 doses,23.5
Niagara Region Public Health,HPV,12,2022-2023,0 doses,23.8
Niagara Region Public Health,HPV,12,2023-2024,0 doses,34.6
Niagara Region Public Health,HPV,12,2019-2020,1 dose,27.7
Niagara Region Public Health,HPV,12,2020-2021,1 dose,30.9
Niagara Region Public Health,HPV,12,2021-2022,1 dose,14.5
Niagara Region Public Health,HPV,12,2022-2023,1 dose,8.8
Niagara Region Public Health,HPV,12,2023-2024,1 dose,15.1
Niagara Region Public Health,HPV,12,2019-2020,2 doses,49.9
Niagara Region Public Health,HPV,12,2020-2021,2 doses,37.6
Niagara Region Public Health,HPV,12,2021-2022,2 doses,61.5
Niagara Region Public Health,HPV,12,2022-2023,2 doses,67
Niagara Region Public Health,HPV,12,2023-2024,2 doses,50.3
Niagara Region Public Health,HPV,12,2019-2020,3 or more doses,2.1
Niagara Region Public Health,HPV,12,2020-2021,3 or more doses,1.2
Niagara Region Public Health,HPV,12,2021-2022,3 or more doses,0.6
Niagara Region Public Health,HPV,12,2022-2023,3 or more doses,0.4
Niagara Region Public Health,HPV,12,2023-2024,3 or more doses,0.1
North Bay Parry Sound District Health Unit,Measles,7,2019-2020,0 doses,2.4
North Bay Parry Sound District Health Unit,Measles,7,2020-2021,0 doses,1.9
North Bay Parry Sound District Health Unit,Measles,7,2021-2022,0 doses,2.9
North Bay Parry Sound District Health Unit,Measles,7,2022-2023,0 doses,2.6
North Bay Parry Sound District Health Unit,Measles,7,2023-2024,0 doses,3
North Bay Parry Sound District Health Unit,Measles,7,2019-2020,1 dose,2
North Bay Parry Sound District Health Unit,Measles,7,2020-2021,1 dose,7.4
North Bay Parry Sound District Health Unit,Measles,7,2021-2022,1 dose,7.5
North Bay Parry Sound District Health Unit,Measles,7,2022-2023,1 dose,14
North Bay Parry Sound District Health Unit,Measles,7,2023-2024,1 dose,4.6
North Bay Parry Sound District Health Unit,Measles,7,2019-2020,2 or more doses,95.6
North Bay Parry Sound District Health Unit,Measles,7,2020-2021,2 or more doses,90.7
North Bay Parry Sound District Health Unit,Measles,7,2021-2022,2 or more doses,89.5
North Bay Parry Sound District Health Unit,Measles,7,2022-2023,2 or more doses,83.4
North Bay Parry Sound District Health Unit,Measles,7,2023-2024,2 or more doses,92.4
North Bay Parry Sound District Health Unit,HepB,12,2019-2020,0 doses,9.5
North Bay Parry Sound District Health Unit,HepB,12,2020-2021,0 doses,13.4
North Bay Parry Sound District Health Unit,HepB,12,2021-2022,0 doses,15.4
North Bay Parry Sound District Health Unit,HepB,12,2022-2023,0 doses,13.6
North Bay Parry Sound District Health Unit,HepB,12,2023-2024,0 doses,23
North Bay Parry Sound District Health Unit,HepB,12,2019-2020,1 dose,14.6
North Bay Parry Sound District Health Unit,HepB,12,2020-2021,1 dose,16
North Bay Parry Sound District Health Unit,HepB,12,2021-2022,1 dose,15.4
North Bay Parry Sound District Health Unit,HepB,12,2022-2023,1 dose,9.5
North Bay Parry Sound District Health Unit,HepB,12,2023-2024,1 dose,12.4
North Bay Parry Sound District Health Unit,HepB,12,2019-2020,2 doses,64.3
North Bay Parry Sound District Health Unit,HepB,12,2020-2021,2 doses,63.6
North Bay Parry Sound District Health Unit,HepB,12,2021-2022,2 doses,63.1
North Bay Parry Sound District Health Unit,HepB,12,2022-2023,2 doses,70.6
North Bay Parry Sound District Health Unit,HepB,12,2023-2024,2 doses,58
North Bay Parry Sound District Health Unit,HepB,12,2019-2020,3 or more doses,11.6
North Bay Parry Sound District Health Unit,HepB,12,2020-2021,3 or more doses,7
North Bay Parry Sound District Health Unit,HepB,12,2021-2022,3 or more doses,6.1
North Bay Parry Sound District Health Unit,HepB,12,2022-2023,3 or more doses,6.2
North Bay Parry Sound District Health Unit,HepB,12,2023-2024,3 or more doses,6.6
North Bay Parry Sound District Health Unit,HPV,12,2019-2020,0 doses,16.4
North Bay Parry Sound District Health Unit,HPV,12,2020-2021,0 doses,21.7
North Bay Parry Sound District Health Unit,HPV,12,2021-2022,0 doses,22.7
North Bay Parry Sound District Health Unit,HPV,12,2022-2023,0 doses,21.7
North Bay Parry Sound District Health Unit,HPV,12,2023-2024,0 doses,30.4
North Bay Parry Sound District Health Unit,HPV,12,2019-2020,1 dose,14
North Bay Parry Sound District Health Unit,HPV,12,2020-2021,1 dose,13.7
North Bay Parry Sound District Health Unit,HPV,12,2021-2022,1 dose,14.7
North Bay Parry Sound District Health Unit,HPV,12,2022-2023,1 dose,8.9
North Bay Parry Sound District Health Unit,HPV,12,2023-2024,1 dose,10.9
North Bay Parry Sound District Health Unit,HPV,12,2019-2020,2 doses,67.8
North Bay Parry Sound District Health Unit,HPV,12,2020-2021,2 doses,62.6
North Bay Parry Sound District Health Unit,HPV,12,2021-2022,2 doses,62.3
North Bay Parry Sound District Health Unit,HPV,12,2022-2023,2 doses,69.1
North Bay Parry Sound District Health Unit,HPV,12,2023-2024,2 doses,58.7
North Bay Parry Sound District Health Unit,HPV,12,2019-2020,3 or more doses,1.9
North Bay Parry Sound District Health Unit,HPV,12,2020-2021,3 or more doses,2.1
North Bay Parry Sound District Health Unit,HPV,12,2021-2022,3 or more doses,0.3
North Bay Parry Sound District Health Unit,HPV,12,2022-2023,3 or more doses,0.2
North Bay Parry Sound District Health Unit,HPV,12,2023-2024,3 or more doses,0
Northwestern Health Unit,Measles,7,2019-2020,0 doses,2.5
Northwestern Health Unit,Measles,7,2020-2021,0 doses,1.5
Northwestern Health Unit,Measles,7,2021-2022,0 doses,2.1
Northwestern Health Unit,Measles,7,2022-2023,0 doses,2.8
Northwestern Health Unit,Measles,7,2023-2024,0 doses,1.3
Northwestern Health Unit,Measles,7,2019-2020,1 dose,2.9
Northwestern Health Unit,Measles,7,2020-2021,1 dose,3.9
Northwestern Health Unit,Measles,7,2021-2022,1 dose,6.7
Northwestern Health Unit,Measles,7,2022-2023,1 dose,3.1
Northwestern Health Unit,Measles,7,2023-2024,1 dose,5.2
Northwestern Health Unit,Measles,7,2019-2020,2 or more doses,94.6
Northwestern Health Unit,Measles,7,2020-2021,2 or more doses,94.5
Northwestern Health Unit,Measles,7,2021-2022,2 or more doses,91.2
Northwestern Health Unit,Measles,7,2022-2023,2 or more doses,94.1
Northwestern Health Unit,Measles,7,2023-2024,2 or more doses,93.5
Northwestern Health Unit,HepB,12,2019-2020,0 doses,18
Northwestern Health Unit,HepB,12,2020-2021,0 doses,30.5
Northwestern Health Unit,HepB,12,2021-2022,0 doses,19.3
Northwestern Health Unit,HepB,12,2022-2023,0 doses,18.4
Northwestern Health Unit,HepB,12,2023-2024,0 doses,26.7
Northwestern Health Unit,HepB,12,2019-2020,1 dose,12
Northwestern Health Unit,HepB,12,2020-2021,1 dose,14.4
Northwestern Health Unit,HepB,12,2021-2022,1 dose,16.9
Northwestern Health Unit,HepB,12,2022-2023,1 dose,14.9
Northwestern Health Unit,HepB,12,2023-2024,1 dose,18.4
Northwestern Health Unit,HepB,12,2019-2020,2 doses,56.9
Northwestern Health Unit,HepB,12,2020-2021,2 doses,45.9
Northwestern Health Unit,HepB,12,2021-2022,2 doses,53.3
Northwestern Health Unit,HepB,12,2022-2023,2 doses,55.8
Northwestern Health Unit,HepB,12,2023-2024,2 doses,44.9
Northwestern Health Unit,HepB,12,2019-2020,3 or more doses,13.1
Northwestern Health Unit,HepB,12,2020-2021,3 or more doses,9.2
Northwestern Health Unit,HepB,12,2021-2022,3 or more doses,10.5
Northwestern Health Unit,HepB,12,2022-2023,3 or more doses,10.9
Northwestern Health Unit,HepB,12,2023-2024,3 or more doses,10
Northwestern Health Unit,HPV,12,2019-2020,0 doses,25
Northwestern Health Unit,HPV,12,2020-2021,0 doses,36.7
Northwestern Health Unit,HPV,12,2021-2022,0 doses,25.9
Northwestern Health Unit,HPV,12,2022-2023,0 doses,23.8
Northwestern Health Unit,HPV,12,2023-2024,0 doses,33.8
Northwestern Health Unit,HPV,12,2019-2020,1 dose,12
Northwestern Health Unit,HPV,12,2020-2021,1 dose,15.4
Northwestern Health Unit,HPV,12,2021-2022,1 dose,15.8
Northwestern Health Unit,HPV,12,2022-2023,1 dose,15.2
Northwestern Health Unit,HPV,12,2023-2024,1 dose,18.4
Northwestern Health Unit,HPV,12,2019-2020,2 doses,62.3
Northwestern Health Unit,HPV,12,2020-2021,2 doses,46.4
Northwestern Health Unit,HPV,12,2021-2022,2 doses,58.1
Northwestern Health Unit,HPV,12,2022-2023,2 doses,60.9
Northwestern Health Unit,HPV,12,2023-2024,2 doses,47.7
Northwestern Health Unit,HPV,12,2019-2020,3 or more doses,0.7
Northwestern Health Unit,HPV,12,2020-2021,3 or more doses,1.4
Northwestern Health Unit,HPV,12,2021-2022,3 or more doses,0.3
Northwestern Health Unit,HPV,12,2022-2023,3 or more doses,0.1
Northwestern Health Unit,HPV,12,2023-2024,3 or more doses,0.1
Ottawa Public Health,Measles,7,2019-2020,0 doses,1.7
Ottawa Public Health,Measles,7,2020-2021,0 doses,3.2
Ottawa Public Health,Measles,7,2021-2022,0 doses,6.2
Ottawa Public Health,Measles,7,2022-2023,0 doses,6.8
Ottawa Public Health,Measles,7,2023-2024,0 doses,22.3
Ottawa Public Health,Measles,7,2019-2020,1 dose,11.1
Ottawa Public Health,Measles,7,2020-2021,1 dose,30.2
Ottawa Public Health,Measles,7,2021-2022,1 dose,31.9
Ottawa Public Health,Measles,7,2022-2023,1 dose,12.2
Ottawa Public Health,Measles,7,2023-2024,1 dose,13.6
Ottawa Public Health,Measles,7,2019-2020,2 or more doses,87.3
Ottawa Public Health,Measles,7,2020-2021,2 or more doses,66.6
Ottawa Public Health,Measles,7,2021-2022,2 or more doses,61.9
Ottawa Public Health,Measles,7,2022-2023,2 or more doses,81
Ottawa Public Health,Measles,7,2023-2024,2 or more doses,64
Ottawa Public Health,HepB,12,2019-2020,0 doses,10.9
Ottawa Public Health,HepB,12,2020-2021,0 doses,15.1
Ottawa Public Health,HepB,12,2021-2022,0 doses,11.8
Ottawa Public Health,HepB,12,2022-2023,0 doses,15.3
Ottawa Public Health,HepB,12,2023-2024,0 doses,18.4
Ottawa Public Health,HepB,12,2019-2020,1 dose,28.6
Ottawa Public Health,HepB,12,2020-2021,1 dose,12.1
Ottawa Public Health,HepB,12,2021-2022,1 dose,6.9
Ottawa Public Health,HepB,12,2022-2023,1 dose,9.6
Ottawa Public Health,HepB,12,2023-2024,1 dose,9.8
Ottawa Public Health,HepB,12,2019-2020,2 doses,33.4
Ottawa Public Health,HepB,12,2020-2021,2 doses,46.2
Ottawa Public Health,HepB,12,2021-2022,2 doses,55.8
Ottawa Public Health,HepB,12,2022-2023,2 doses,50.2
Ottawa Public Health,HepB,12,2023-2024,2 doses,48.3
Ottawa Public Health,HepB,12,2019-2020,3 or more doses,27.1
Ottawa Public Health,HepB,12,2020-2021,3 or more doses,26.5
Ottawa Public Health,HepB,12,2021-2022,3 or more doses,25.5
Ottawa Public Health,HepB,12,2022-2023,3 or more doses,24.9
Ottawa Public Health,HepB,12,2023-2024,3 or more doses,23.5
Ottawa Public Health,HPV,12,2019-2020,0 doses,19.2
Ottawa Public Health,HPV,12,2020-2021,0 doses,23.7
Ottawa Public Health,HPV,12,2021-2022,0 doses,19.6
Ottawa Public Health,HPV,12,2022-2023,0 doses,23.9
Ottawa Public Health,HPV,12,2023-2024,0 doses,27
Ottawa Public Health,HPV,12,2019-2020,1 dose,38.1
Ottawa Public Health,HPV,12,2020-2021,1 dose,14.8
Ottawa Public Health,HPV,12,2021-2022,1 dose,8.1
Ottawa Public Health,HPV,12,2022-2023,1 dose,11.6
Ottawa Public Health,HPV,12,2023-2024,1 dose,12.2
Ottawa Public Health,HPV,12,2019-2020,2 doses,41.5
Ottawa Public Health,HPV,12,2020-2021,2 doses,59.9
Ottawa Public Health,HPV,12,2021-2022,2 doses,71.6
Ottawa Public Health,HPV,12,2022-2023,2 doses,64.2
Ottawa Public Health,HPV,12,2023-2024,2 doses,60.5
Ottawa Public Health,HPV,12,2019-2020,3 or more doses,1.2
Ottawa Public Health,HPV,12,2020-2021,3 or more doses,1.6
Ottawa Public Health,HPV,12,2021-2022,3 or more doses,0.7
Ottawa Public Health,HPV,12,2022-2023,3 or more doses,0.3
Ottawa Public Health,HPV,12,2023-2024,3 or more doses,0.2
Peel Public Health,Measles,7,2019-2020,0 doses,1.9
Peel Public Health,Measles,7,2020-2021,0 doses,2.9
Peel Public Health,Measles,7,2021-2022,0 doses,5.6
Peel Public Health,Measles,7,2022-2023,0 doses,10
Peel Public Health,Measles,7,2023-2024,0 doses,22.2
Peel Public Health,Measles,7,2019-2020,1 dose,19.9
Peel Public Health,Measles,7,2020-2021,1 dose,54.8
Peel Public Health,Measles,7,2021-2022,1 dose,33.9
Peel Public Health,Measles,7,2022-2023,1 dose,28.8
Peel Public Health,Measles,7,2023-2024,1 dose,42.2
Peel Public Health,Measles,7,2019-2020,2 or more doses,78.2
Peel Public Health,Measles,7,2020-2021,2 or more doses,42.2
Peel Public Health,Measles,7,2021-2022,2 or more doses,60.5
Peel Public Health,Measles,7,2022-2023,2 or more doses,61.2
Peel Public Health,Measles,7,2023-2024,2 or more doses,35.7
Peel Public Health,HepB,12,2019-2020,0 doses,12.1
Peel Public Health,HepB,12,2020-2021,0 doses,27.5
Peel Public Health,HepB,12,2021-2022,0 doses,25.8
Peel Public Health,HepB,12,2022-2023,0 doses,16.6
Peel Public Health,HepB,12,2023-2024,0 doses,24.7
Peel Public Health,HepB,12,2019-2020,1 dose,27.1
Peel Public Health,HepB,12,2020-2021,1 dose,17
Peel Public Health,HepB,12,2021-2022,1 dose,19.7
Peel Public Health,HepB,12,2022-2023,1 dose,10.1
Peel Public Health,HepB,12,2023-2024,1 dose,18.1
Peel Public Health,HepB,12,2019-2020,2 doses,26.3
Peel Public Health,HepB,12,2020-2021,2 doses,25.1
Peel Public Health,HepB,12,2021-2022,2 doses,25.8
Peel Public Health,HepB,12,2022-2023,2 doses,41.3
Peel Public Health,HepB,12,2023-2024,2 doses,28.3
Peel Public Health,HepB,12,2019-2020,3 or more doses,34.6
Peel Public Health,HepB,12,2020-2021,3 or more doses,30.4
Peel Public Health,HepB,12,2021-2022,3 or more doses,28.8
Peel Public Health,HepB,12,2022-2023,3 or more doses,32
Peel Public Health,HepB,12,2023-2024,3 or more doses,28.9
Peel Public Health,HPV,12,2019-2020,0 doses,22
Peel Public Health,HPV,12,2020-2021,0 doses,43.6
Peel Public Health,HPV,12,2021-2022,0 doses,39.1
Peel Public Health,HPV,12,2022-2023,0 doses,26.2
Peel Public Health,HPV,12,2023-2024,0 doses,37
Peel Public Health,HPV,12,2019-2020,1 dose,40.2
Peel Public Health,HPV,12,2020-2021,1 dose,23.8
Peel Public Health,HPV,12,2021-2022,1 dose,27.6
Peel Public Health,HPV,12,2022-2023,1 dose,14.3
Peel Public Health,HPV,12,2023-2024,1 dose,27.8
Peel Public Health,HPV,12,2019-2020,2 doses,36.2
Peel Public Health,HPV,12,2020-2021,2 doses,32
Peel Public Health,HPV,12,2021-2022,2 doses,33.1
Peel Public Health,HPV,12,2022-2023,2 doses,59.3
Peel Public Health,HPV,12,2023-2024,2 doses,35.1
Peel Public Health,HPV,12,2019-2020,3 or more doses,1.6
Peel Public Health,HPV,12,2020-2021,3 or more doses,0.7
Peel Public Health,HPV,12,2021-2022,3 or more doses,0.2
Peel Public Health,HPV,12,2022-2023,3 or more doses,0.2
Peel Public Health,HPV,12,2023-2024,3 or more doses,0.1
Peterborough Public Health,Measles,7,2019-2020,0 doses,2.8
Peterborough Public Health,Measles,7,2020-2021,0 doses,3.2
Peterborough Public Health,Measles,7,2021-2022,0 doses,3.9
Peterborough Public Health,Measles,7,2022-2023,0 doses,10.8
Peterborough Public Health,Measles,7,2023-2024,0 doses,3.6
Peterborough Public Health,Measles,7,2019-2020,1 dose,17.8
Peterborough Public Health,Measles,7,2020-2021,1 dose,20.6
Peterborough Public Health,Measles,7,2021-2022,1 dose,19.3
Peterborough Public Health,Measles,7,2022-2023,1 dose,22.1
Peterborough Public Health,Measles,7,2023-2024,1 dose,4.3
Peterborough Public Health,Measles,7,2019-2020,2 or more doses,79.4
Peterborough Public Health,Measles,7,2020-2021,2 or more doses,76.2
Peterborough Public Health,Measles,7,2021-2022,2 or more doses,76.8
Peterborough Public Health,Measles,7,2022-2023,2 or more doses,67.1
Peterborough Public Health,Measles,7,2023-2024,2 or more doses,92.1
Peterborough Public Health,HepB,12,2019-2020,0 doses,11.5
Peterborough Public Health,HepB,12,2020-2021,0 doses,19
Peterborough Public Health,HepB,12,2021-2022,0 doses,19.5
Peterborough Public Health,HepB,12,2022-2023,0 doses,18.5
Peterborough Public Health,HepB,12,2023-2024,0 doses,22
Peterborough Public Health,HepB,12,2019-2020,1 dose,15.2
Peterborough Public Health,HepB,12,2020-2021,1 dose,19.7
Peterborough Public Health,HepB,12,2021-2022,1 dose,15.3
Peterborough Public Health,HepB,12,2022-2023,1 dose,8.7
Peterborough Public Health,HepB,12,2023-2024,1 dose,12.7
Peterborough Public Health,HepB,12,2019-2020,2 doses,62.7
Peterborough Public Health,HepB,12,2020-2021,2 doses,51.8
Peterborough Public Health,HepB,12,2021-2022,2 doses,57.6
Peterborough Public Health,HepB,12,2022-2023,2 doses,64.4
Peterborough Public Health,HepB,12,2023-2024,2 doses,57.4
Peterborough Public Health,HepB,12,2019-2020,3 or more doses,10.6
Peterborough Public Health,HepB,12,2020-2021,3 or more doses,9.6
Peterborough Public Health,HepB,12,2021-2022,3 or more doses,7.6
Peterborough Public Health,HepB,12,2022-2023,3 or more doses,8.4
Peterborough Public Health,HepB,12,2023-2024,3 or more doses,7.9
Peterborough Public Health,HPV,12,2019-2020,0 doses,18
Peterborough Public Health,HPV,12,2020-2021,0 doses,23.2
Peterborough Public Health,HPV,12,2021-2022,0 doses,25.4
Peterborough Public Health,HPV,12,2022-2023,0 doses,24.5
Peterborough Public Health,HPV,12,2023-2024,0 doses,27.8
Peterborough Public Health,HPV,12,2019-2020,1 dose,14.2
Peterborough Public Health,HPV,12,2020-2021,1 dose,19.8
Peterborough Public Health,HPV,12,2021-2022,1 dose,14.8
Peterborough Public Health,HPV,12,2022-2023,1 dose,9.3
Peterborough Public Health,HPV,12,2023-2024,1 dose,12.7
Peterborough Public Health,HPV,12,2019-2020,2 doses,66.2
Peterborough Public Health,HPV,12,2020-2021,2 doses,55.1
Peterborough Public Health,HPV,12,2021-2022,2 doses,59.2
Peterborough Public Health,HPV,12,2022-2023,2 doses,66.2
Peterborough Public Health,HPV,12,2023-2024,2 doses,59.2
Peterborough Public Health,HPV,12,2019-2020,3 or more doses,1.5
Peterborough Public Health,HPV,12,2020-2021,3 or more doses,1.9
Peterborough Public Health,HPV,12,2021-2022,3 or more doses,0.5
Peterborough Public Health,HPV,12,2022-2023,3 or more doses,0
Peterborough Public Health,HPV,12,2023-2024,3 or more doses,0.3
Porcupine Health Unit,Measles,7,2019-2020,0 doses,2.4
Porcupine Health Unit,Measles,7,2020-2021,0 doses,2.9
Porcupine Health Unit,Measles,7,2021-2022,0 doses,2
Porcupine Health Unit,Measles,7,2022-2023,0 doses,2.4
Porcupine Health Unit,Measles,7,2023-2024,0 doses,3.7
Porcupine Health Unit,Measles,7,2019-2020,1 dose,3.2
Porcupine Health Unit,Measles,7,2020-2021,1 dose,6
Porcupine Health Unit,Measles,7,2021-2022,1 dose,10.2
Porcupine Health Unit,Measles,7,2022-2023,1 dose,9.7
Porcupine Health Unit,Measles,7,2023-2024,1 dose,5.1
Porcupine Health Unit,Measles,7,2019-2020,2 or more doses,94.4
Porcupine Health Unit,Measles,7,2020-2021,2 or more doses,91.1
Porcupine Health Unit,Measles,7,2021-2022,2 or more doses,87.9
Porcupine Health Unit,Measles,7,2022-2023,2 or more doses,87.9
Porcupine Health Unit,Measles,7,2023-2024,2 or more doses,91.1
Porcupine Health Unit,HepB,12,2019-2020,0 doses,8
Porcupine Health Unit,HepB,12,2020-2021,0 doses,12.7
Porcupine Health Unit,HepB,12,2021-2022,0 doses,18.3
Porcupine Health Unit,HepB,12,2022-2023,0 doses,18.7
Porcupine Health Unit,HepB,12,2023-2024,0 doses,20.2
Porcupine Health Unit,HepB,12,2019-2020,1 dose,7.3
Porcupine Health Unit,HepB,12,2020-2021,1 dose,10.2
Porcupine Health Unit,HepB,12,2021-2022,1 dose,11.9
Porcupine Health Unit,HepB,12,2022-2023,1 dose,8.1
Porcupine Health Unit,HepB,12,2023-2024,1 dose,8.3
Porcupine Health Unit,HepB,12,2019-2020,2 doses,75.5
Porcupine Health Unit,HepB,12,2020-2021,2 doses,69.8
Porcupine Health Unit,HepB,12,2021-2022,2 doses,62.3
Porcupine Health Unit,HepB,12,2022-2023,2 doses,67.4
Porcupine Health Unit,HepB,12,2023-2024,2 doses,65.6
Porcupine Health Unit,HepB,12,2019-2020,3 or more doses,9.3
Porcupine Health Unit,HepB,12,2020-2021,3 or more doses,7.3
Porcupine Health Unit,HepB,12,2021-2022,3 or more doses,7.5
Porcupine Health Unit,HepB,12,2022-2023,3 or more doses,5.9
Porcupine Health Unit,HepB,12,2023-2024,3 or more doses,5.9
Porcupine Health Unit,HPV,12,2019-2020,0 doses,17.1
Porcupine Health Unit,HPV,12,2020-2021,0 doses,23.2
Porcupine Health Unit,HPV,12,2021-2022,0 doses,25.5
Porcupine Health Unit,HPV,12,2022-2023,0 doses,26.2
Porcupine Health Unit,HPV,12,2023-2024,0 doses,26.8
Porcupine Health Unit,HPV,12,2019-2020,1 dose,7.4
Porcupine Health Unit,HPV,12,2020-2021,1 dose,9.2
Porcupine Health Unit,HPV,12,2021-2022,1 dose,11.2
Porcupine Health Unit,HPV,12,2022-2023,1 dose,6.8
Porcupine Health Unit,HPV,12,2023-2024,1 dose,7.6
Porcupine Health Unit,HPV,12,2019-2020,2 doses,74.8
Porcupine Health Unit,HPV,12,2020-2021,2 doses,67.4
Porcupine Health Unit,HPV,12,2021-2022,2 doses,63.3
Porcupine Health Unit,HPV,12,2022-2023,2 doses,67
Porcupine Health Unit,HPV,12,2023-2024,2 doses,65.7
Porcupine Health Unit,HPV,12,2019-2020,3 or more doses,0.7
Porcupine Health Unit,HPV,12,2020-2021,3 or more doses,0.2
Porcupine Health Unit,HPV,12,2021-2022,3 or more doses,0.1
Porcupine Health Unit,HPV,12,2022-2023,3 or more doses,0
Porcupine Health Unit,HPV,12,2023-2024,3 or more doses,0
Renfrew County and District Health Unit,Measles,7,2019-2020,0 doses,1.9
Renfrew County and District Health Unit,Measles,7,2020-2021,0 doses,1.5
Renfrew County and District Health Unit,Measles,7,2021-2022,0 doses,2.1
Renfrew County and District Health Unit,Measles,7,2022-2023,0 doses,3.8
Renfrew County and District Health Unit,Measles,7,2023-2024,0 doses,5.9
Renfrew County and District Health Unit,Measles,7,2019-2020,1 dose,5.7
Renfrew County and District Health Unit,Measles,7,2020-2021,1 dose,17.5
Renfrew County and District Health Unit,Measles,7,2021-2022,1 dose,14.8
Renfrew County and District Health Unit,Measles,7,2022-2023,1 dose,13
Renfrew County and District Health Unit,Measles,7,2023-2024,1 dose,11.6
Renfrew County and District Health Unit,Measles,7,2019-2020,2 or more doses,92.3
Renfrew County and District Health Unit,Measles,7,2020-2021,2 or more doses,81
Renfrew County and District Health Unit,Measles,7,2021-2022,2 or more doses,83.1
Renfrew County and District Health Unit,Measles,7,2022-2023,2 or more doses,83.2
Renfrew County and District Health Unit,Measles,7,2023-2024,2 or more doses,82.5
Renfrew County and District Health Unit,HepB,12,2019-2020,0 doses,10.1
Renfrew County and District Health Unit,HepB,12,2020-2021,0 doses,17
Renfrew County and District Health Unit,HepB,12,2021-2022,0 doses,13.8
Renfrew County and District Health Unit,HepB,12,2022-2023,0 doses,15.5
Renfrew County and District Health Unit,HepB,12,2023-2024,0 doses,19.9
Renfrew County and District Health Unit,HepB,12,2019-2020,1 dose,19.7
Renfrew County and District Health Unit,HepB,12,2020-2021,1 dose,13.5
Renfrew County and District Health Unit,HepB,12,2021-2022,1 dose,14.3
Renfrew County and District Health Unit,HepB,12,2022-2023,1 dose,8.9
Renfrew County and District Health Unit,HepB,12,2023-2024,1 dose,10.1
Renfrew County and District Health Unit,HepB,12,2019-2020,2 doses,58.6
Renfrew County and District Health Unit,HepB,12,2020-2021,2 doses,58.2
Renfrew County and District Health Unit,HepB,12,2021-2022,2 doses,63
Renfrew County and District Health Unit,HepB,12,2022-2023,2 doses,66.7
Renfrew County and District Health Unit,HepB,12,2023-2024,2 doses,60.8
Renfrew County and District Health Unit,HepB,12,2019-2020,3 or more doses,11.6
Renfrew County and District Health Unit,HepB,12,2020-2021,3 or more doses,11.3
Renfrew County and District Health Unit,HepB,12,2021-2022,3 or more doses,8.8
Renfrew County and District Health Unit,HepB,12,2022-2023,3 or more doses,8.9
Renfrew County and District Health Unit,HepB,12,2023-2024,3 or more doses,9.2
Renfrew County and District Health Unit,HPV,12,2019-2020,0 doses,17.7
Renfrew County and District Health Unit,HPV,12,2020-2021,0 doses,23.6
Renfrew County and District Health Unit,HPV,12,2021-2022,0 doses,22.1
Renfrew County and District Health Unit,HPV,12,2022-2023,0 doses,22.2
Renfrew County and District Health Unit,HPV,12,2023-2024,0 doses,26.6
Renfrew County and District Health Unit,HPV,12,2019-2020,1 dose,20.3
Renfrew County and District Health Unit,HPV,12,2020-2021,1 dose,13.8
Renfrew County and District Health Unit,HPV,12,2021-2022,1 dose,12.9
Renfrew County and District Health Unit,HPV,12,2022-2023,1 dose,9
